"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-16","0.00",,"56","66","45"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-17","0.00",,"56","64","50"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-18","0.00",,"56","64","48"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-19","0.00",,"55","63","48"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-20","0.00",,"61","68","54"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-21","0.00",,"61","66","55"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-22","0.00",,"59","68","55"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-23","0.00",,"58","68","55"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-24","0.00",,"59","68","54"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-25",,,"64",,"57"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-26","0.00",,"57","64","48"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-27",,,"51","61",
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-28","0.00",,"54","64",
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-29","0.00",,"58","66","48"
"ITM00016061","TORINO BRIC CROCE, IT","1975-04-30","0.00",,"60","68","52"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-01","0.01",,"62","70","52"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-02","0.00",,"63","70","54"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-03","0.20",,"57","64",
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-04","1.10",,"41","43","39"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-05",,,"43",,"41"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-06","1.38",,"44","46","43"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-07",,,"47",,"43"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-08","0.20",,"47","55","43"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-09","0.00",,"53","63","46"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-10",,,"50",,"48"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-11","0.63",,"45","46","45"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-12","0.00",,"54","64","46"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-13","0.00",,"58","66","54"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-14","0.00",,"62","70","54"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-15","0.00",,"63","72","59"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-16","0.00",,"61","70","54"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-17","0.00",,"63","70","57"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-18","0.00",,"66","73","59"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-19","0.00",,"71","79","64"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-20","0.00",,"72","81","64"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-21","0.55",,"68","77",
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-22","0.00",,"62",,"55"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-23","2.32",,"56","63",
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-24","0.39",,"52","57","50"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-25",,,"52",,"46"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-26","0.71",,"49","52","46"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-27","0.00",,"54","63","48"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-28","0.00",,"60","68","54"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-29","0.00",,"57","63","55"
"ITM00016061","TORINO BRIC CROCE, IT","1975-05-30","0.00",,"58","64","50"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-01","0.35",,"53","59",
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-02","0.39",,"54","63","48"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-03","0.00",,"57","66","48"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-04","0.00",,"58","64","50"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-05","0.00",,"58","66","50"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-06","0.00",,"60","66","54"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-07","0.00",,"60","68","54"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-08","0.00",,"65","75","57"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-09",,,"59","66",
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-10",,,"61",,"57"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-11","1.81",,"54",,
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-12","2.44",,"53","54","50"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-13",,,"65",,
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-14","0.00",,"71",,"63"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-15","0.00",,"63","66","59"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-16","0.71",,"61","68","55"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-17","0.00",,"61","70","55"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-18","0.00",,"59","68","50"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-19","0.00",,"62","70","54"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-20","0.04",,"59","66","55"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-21","0.02",,"62","68","54"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-22","0.01",,"64","73","55"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-23","0.00",,"63","70","57"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-24","0.00",,"68","77","57"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-25","0.00",,"73","81","64"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-26",,,"74",,"68"
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-27","0.04",,"71","79",
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-28","0.00",,"69","79",
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-29","0.28",,"65","72",
"ITM00016061","TORINO BRIC CROCE, IT","1975-06-30",,,"65","70",
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-01","0.00",,"63","72","57"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-02","0.01",,"61","72","55"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-03","0.00",,"72","79","63"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-04","0.31",,"58",,
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-05","0.00",,"64","73",
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-06","0.00",,"67","75",
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-07","0.00",,"71","79","63"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-08","0.00",,"73","79","66"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-09","0.00",,"73","79","68"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-10","0.00",,"73","81","68"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-11","0.24",,"71","79","66"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-12","0.00",,"69","77","59"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-13","0.00",,"71","77","64"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-14","0.00",,"77",,"68"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-15","0.02",,"75","81","70"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-16",,,"72",,"66"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-17","0.04",,"70","75","66"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-18",,,"68",,"64"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-19","0.00",,"70","77","57"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-20","0.00",,"70","77","64"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-21","0.00",,"71","79","64"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-22","0.00",,"70","77","66"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-23","0.00",,"71","73",
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-24","0.00",,"70","75","66"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-25",,,"74","79",
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-26","0.00",,"67","72","59"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-27","0.00",,"65","73","59"
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-29","1.02",,"70","79",
"ITM00016061","TORINO BRIC CROCE, IT","1975-07-31","0.00",,"73","81","66"
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-01","0.00",,"75","81","70"
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-02",,,"74",,"70"
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-03","0.00",,"76","82","70"
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-04","0.00",,"74","82","68"
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-05","0.00",,"69","73","66"
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-06","0.00",,"71","79","66"
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-07","0.00",,"73","79",
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-08",,,"70","79",
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-09","0.08",,"67","77","63"
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-10",,,"65","68",
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-11","0.35",,"63","72",
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-12","0.02",,"62","68","57"
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-13","0.00",,"68","77","61"
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-14","0.00",,"70","77","64"
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-15","0.04",,"67","75","59"
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-16","0.01",,"68","77","59"
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-17","0.00",,"67","73","61"
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-18","0.00",,"68","75","61"
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-19",,,"71",,"64"
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-20",,,"69","77",
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-21",,,"67",,"50"
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-22",,,"60",,
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-23","0.06",,"55","61",
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-24",,,"55",,"52"
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-25",,,"60","63",
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-26","0.00",,"63","72","57"
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-27","0.00",,"64","72",
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-28","0.16",,"64","70","63"
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-29","0.04",,"61","64","57"
"ITM00016061","TORINO BRIC CROCE, IT","1975-08-31","0.02",,"58","66",
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-03","0.00",,"61","70","55"
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-04","0.00",,"66","73","59"
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-05","0.00",,"66","73","59"
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-06",,,"63",,"59"
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-07","0.51",,"61","66",
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-08","0.00",,"61","66","59"
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-09","0.00",,"61","68","57"
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-10","0.00",,"61","66","59"
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-11","0.31",,"61","64","59"
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-12","0.00",,"57","61","54"
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-13","0.00",,"60","68","52"
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-14","0.04",,"56",,"54"
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-15","1.16",,"57",,"52"
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-16","1.10",,"57","63",
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-17","0.00",,"69",,"57"
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-18","0.00",,"68","72","64"
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-19","0.00",,"64","68",
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-20",,,"66","72",
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-21","0.00",,"66","73","61"
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-22","1.42",,"63","70",
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-23","0.00",,"65","72","61"
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-24","0.00",,"64","70","59"
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-25","0.00",,"60","66","57"
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-26","0.00",,"58","61","57"
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-27","0.00",,"60","64","57"
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-28",,,"62",,
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-29","0.00",,"62","66","61"
"ITM00016061","TORINO BRIC CROCE, IT","1975-09-30","0.20",,"60","64","57"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-01","0.08",,"59","64","54"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-02","0.00",,"62","70","55"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-03","0.00",,"62","70","57"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-04","0.00",,"63","70","59"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-05",,,"61",,"59"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-06","0.00",,"60","64","57"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-07","0.00",,"61","68","55"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-08","0.00",,"62","70","57"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-09","0.00",,"60","64","57"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-10",,,"50",,
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-11","0.28",,"41",,
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-12",,,"40",,"39"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-13","0.16",,"41","43","39"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-14","0.00",,"45","54","39"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-16","0.35",,"43",,
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-17","0.67",,"43","45","43"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-18","0.00",,"49","57","43"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-19","0.00",,"51","61","45"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-20","0.02",,"49","52","46"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-21","0.00",,"50","57","45"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-22","0.00",,"50","57","46"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-23",,,"46",,"45"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-24","0.00",,"51","59","46"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-25","0.00",,"51","57","46"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-26","0.00",,"51","59",
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-27","0.00",,"55","63","50"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-28","0.00",,"58","63",
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-29","0.00",,"60","68","54"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-30","0.00",,"57","63","55"
"ITM00016061","TORINO BRIC CROCE, IT","1975-10-31","0.00",,"51","55","50"
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-01","0.12",,"49","50",
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-02","0.12",,"48","48","46"
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-03","0.94",,"50","52","46"
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-04","0.00",,"52","55","48"
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-05","0.00",,"50","54",
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-06","0.00",,"46","48",
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-07",,,"42","45",
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-08","0.99",,"38","39","37"
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-09","0.00",,"41","43",
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-10","0.05",,"39","43",
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-11","0.00",,"42","50","37"
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-12","0.00",,"39","43",
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-13","0.04",,"40","41","39"
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-14",,,"46","52",
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-15","0.00",,"51","57","46"
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-16","0.10",,"37","39",
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-17","0.35",,"33",,"32"
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-18","0.01",,"39","41","34"
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-19","0.00",,"42","48","37"
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-20","0.00",,"45","52","34"
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-21","0.00",,"46","52",
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-22","0.00",,"40","48","36"
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-23","0.00",,"34","37","32"
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-24","0.00",,"29","39",
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-25","0.00",,"35","39",
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-26","0.00",,"33","36","32"
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-27",,,"29",,"28"
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-28","0.00",,"36","43","30"
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-29","0.00",,"41","48","37"
"ITM00016061","TORINO BRIC CROCE, IT","1975-11-30","0.16",,"34",,
"ITM00016061","TORINO BRIC CROCE, IT","1975-12-01","0.44",,"39","46","32"
"ITM00016061","TORINO BRIC CROCE, IT","1975-12-02","0.00",,"40","43",
"ITM00016061","TORINO BRIC CROCE, IT","1975-12-03","0.00",,"39","41","37"
"ITM00016061","TORINO BRIC CROCE, IT","1975-12-04","0.00",,"42","46","37"
"ITM00016061","TORINO BRIC CROCE, IT","1975-12-05","0.00",,"42","48","41"
"ITM00016061","TORINO BRIC CROCE, IT","1975-12-06",,,"43","50","39"
"ITM00016061","TORINO BRIC CROCE, IT","1975-12-07",,,"43",,
"ITM00016061","TORINO BRIC CROCE, IT","1975-12-08","0.00",,"33","36","32"
"ITM00016061","TORINO BRIC CROCE, IT","1975-12-09","0.00",,"35","36","32"
"ITM00016061","TORINO BRIC CROCE, IT","1975-12-10","0.00",,"36","39","32"
"ITM00016061","TORINO BRIC CROCE, IT","1975-12-11","0.00",,"36","41",
"ITM00016061","TORINO BRIC CROCE, IT","1975-12-12","0.00",,"37","41","34"
"ITM00016061","TORINO BRIC CROCE, IT","1975-12-13","0.00",,"36","41","34"
"ITM00016061","TORINO BRIC CROCE, IT","1975-12-14","0.06",,"33","37","32"
"ITM00016061","TORINO BRIC CROCE, IT","1975-12-15","0.20",,"37",,"32"
"ITM00016061","TORINO BRIC CROCE, IT","1975-12-16","0.20",,"38","39","36"
"ITM00016061","TORINO BRIC CROCE, IT","1975-12-17","0.24",,"40","43","37"
"ITM00016061","TORINO BRIC CROCE, IT","1975-12-18","0.00",,"40","46","37"
"ITM00016061","TORINO BRIC CROCE, IT","1975-12-19","0.05",,"32",,
